type,content,mentions,mention_roles,attachments,embeds,timestamp,edited_timestamp,flags,components,id,channel_id,author,pinned,mention_everyone,tts,message_reference,position,referenced_message,sticker_items,reactions
19,ur not😛,"[{'id': '859465115899527178', 'username': 'happyy_meal', 'avatar': 'bb3ced757efac83ad0243f70822334f5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Happy Meal', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:13:44.679000+00:00,,0,[],1354277111690563784,1139080656266203147,"{'id': '1156694262142992526', 'username': 'elec_tric_', 'avatar': '67f46bfe8f32cf48de543f48eea95da8', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'shahoda', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276888578887850', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': ""Then I'm not dumb"", 'mentions': [{'id': '1156694262142992526', 'username': 'elec_tric_', 'avatar': '67f46bfe8f32cf48de543f48eea95da8', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'shahoda', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:12:51.485000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354276888578887850', 'channel_id': '1139080656266203147', 'author': {'id': '859465115899527178', 'username': 'happyy_meal', 'avatar': 'bb3ced757efac83ad0243f70822334f5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Happy Meal', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276807796330516', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,I do any stupid thing to entertain myself,"[{'id': '1236715856688582760', 'username': 'botly_ghost141', 'avatar': '4aa3739da0b5c5e86046e87f166617f1', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '✰ | ʟ.ᴛ sɪᴍᴏɴ “ɢʜᴏsᴛ” ʀɪʟᴇʏ 💀🪖', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:13:36.195000+00:00,,0,[],1354277076105957477,1139080656266203147,"{'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276758328836197', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'No you donttt <:hug:1326050751402999828>', 'mentions': [{'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:12:20.431000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354276758328836197', 'channel_id': '1139080656266203147', 'author': {'id': '1236715856688582760', 'username': 'botly_ghost141', 'avatar': '4aa3739da0b5c5e86046e87f166617f1', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '✰ | ʟ.ᴛ sɪᴍᴏɴ “ɢʜᴏsᴛ” ʀɪʟᴇʏ 💀🪖', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276272871702570', 'guild_id': '1017072750386483332'}, 'position': 0}",,
0,<:lgbtpridemist:919595465996132412>,[],[],[],[],2025-03-26T02:13:35.186000+00:00,,0,[],1354277071873904800,1139080656266203147,"{'id': '859465115899527178', 'username': 'happyy_meal', 'avatar': 'bb3ced757efac83ad0243f70822334f5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Happy Meal', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,,,,,
19,He's just a little guy‼️‼️ he just needs a bit of attention,"[{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:13:32.283000+00:00,,0,[],1354277059698098317,1139080656266203147,"{'id': '485514133836660746', 'username': 'sxcaramouche', 'avatar': '041da3ff68327d2959211f78bcaa08fa', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'Sxcara', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276908660949162', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'Hesevil he wakes me up in the morning cuz he wants attention', 'mentions': [{'id': '485514133836660746', 'username': 'sxcaramouche', 'avatar': '041da3ff68327d2959211f78bcaa08fa', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'Sxcara', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:12:56.273000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354276908660949162', 'channel_id': '1139080656266203147', 'author': {'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276815245541467', 'guild_id': '1017072750386483332'}, 'position': 0}",,
0,Men,[],[],[],[],2025-03-26T02:13:28.736000+00:00,,0,[],1354277044820644001,1139080656266203147,"{'id': '1219539879478824972', 'username': 'ryvatz', 'avatar': '7f88cc7fd31bb752a7a9d16a4c39b1e4', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'offu', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,,,,,
19,I can’t…. Im too nice……,"[{'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:13:28.325000+00:00,,0,[],1354277043096916078,1139080656266203147,"{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276917531902055', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'Call me that instead of him.. 💔💔', 'mentions': [{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:12:58.388000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354276917531902055', 'channel_id': '1139080656266203147', 'author': {'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276674640023694', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,<@1245511403566268560> THERES A TROLL PLZ BAN,"[{'id': '1245511403566268560', 'username': 'oatmilk09', 'avatar': '1c506a8d46ac38a287082cf5aad00900', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Oatmilk', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, {'id': '315519838170644481', 'username': 'squishysquish', 'avatar': 'c8020a20e47a13db4706bed3a8b2b66e', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'squish', 'avatar_decoration_data': {'asset': 'a_d72066b8cecbadd9fc951913ebcc384f', 'sku_id': '1144307629225672846', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:13:27.211000+00:00,,0,[],1354277038424457266,1139080656266203147,"{'id': '1306554796160974868', 'username': 'facggot', 'avatar': '96ba611035fe9d196d1052ac317e1836', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '𓏲      itsy bitsy', 'avatar_decoration_data': {'asset': 'a_c86b11a49bb8057ce9c974a6f7ad658a', 'sku_id': '1333866045236314327', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276929666158863', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'We have, but none are online', 'mentions': [{'id': '1306554796160974868', 'username': 'facggot', 'avatar': '96ba611035fe9d196d1052ac317e1836', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '𓏲      itsy bitsy', 'avatar_decoration_data': {'asset': 'a_c86b11a49bb8057ce9c974a6f7ad658a', 'sku_id': '1333866045236314327', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:13:01.281000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354276929666158863', 'channel_id': '1139080656266203147', 'author': {'id': '315519838170644481', 'username': 'squishysquish', 'avatar': 'c8020a20e47a13db4706bed3a8b2b66e', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'squish', 'avatar_decoration_data': {'asset': 'a_d72066b8cecbadd9fc951913ebcc384f', 'sku_id': '1144307629225672846', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276862871732295', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,I was making soup and I burnt like half my finger also my whole fam is asleep so I was stressing so bad❤️,"[{'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:13:25.614000+00:00,,0,[],1354277031726153759,1139080656266203147,"{'id': '1156694262142992526', 'username': 'elec_tric_', 'avatar': '67f46bfe8f32cf48de543f48eea95da8', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'shahoda', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276793435029564', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'How, when and where', 'mentions': [{'id': '1156694262142992526', 'username': 'elec_tric_', 'avatar': '67f46bfe8f32cf48de543f48eea95da8', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'shahoda', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:12:28.801000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354276793435029564', 'channel_id': '1139080656266203147', 'author': {'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354276607275303163', 'guild_id': '1017072750386483332'}, 'position': 0}",,
0,how do i reply to someone venting to me i suck at this hlp,[],[],[],[],2025-03-26T02:13:24.703000+00:00,,0,[],1354277027905011853,1139080656266203147,"{'id': '982165600061227028', 'username': 'tricksterdirk', 'avatar': '08b3b028089614260fb600c0e0616d98', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'awesome cool guy clyde', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,,,,,
0,this place is a legal anarchy,[],[],[],[],2025-03-26T02:13:14.611000+00:00,,0,[],1354276985576357910,1139080656266203147,"{'id': '1274238835361845279', 'username': 'beanbudget', 'avatar': '1b79ae3a2db05ce33bc58333f4da48a5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'sb018', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,,,,,
